assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,match_id,weapon_category,damage_efficiency,kill_effectiveness,time_period
False,No Assist,0.0,a_m_c,7.656119880437114e+16,False,False,6.6604686,16,111,0,True,head,False,False,0,0,False,24117,sathsea,76561198401647782,ak47,17293822569170534407,40310137444.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8740157480314961,0.7701080634153372,Early
False,No Assist,0.0,tender272,7.656119799372472e+16,False,False,6.859111,16,110,0,True,head,False,False,0,0,False,24200,a_m_c,76561198804371130,ak47,17293822569170534407,46173004551.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.873015873015873,0.7654481709190772,Early
False,No Assist,0.0,Majesticzz,7.656119814480195e+16,False,False,14.269632,15,110,0,True,head,False,False,0,0,False,24812,tender272,76561197993724724,ak47,17293822569170534407,46173004551.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.88,0.753097892601472,Early
False,No Assist,0.0,wasteyute,7.656119937319629e+16,False,False,9.612219,18,88,0,True,head,False,False,0,0,False,25530,Majesticzz,76561198144801954,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8301886792452831,0.67084619983813,Early
False,No Assist,0.0,micro,7.656119807204077e+16,False,False,10.44322,0,93,0,True,head,False,False,0,0,False,28455,CULIACAN,76561198166020071,mp9,17293822569124266018,42934400155.0,,0,aether-vs-full-send-m1-mirage,SMG,1.0,0.68947759808865,Early
False,4TAYLOR,7.656119885271027e+16,a_m_c,7.656119880437114e+16,False,False,3.710315,1,47,0,False,chest,False,False,0,0,False,28683,micro,76561198072040762,deagle,17293822569130557441,38632989551.0,,0,aether-vs-full-send-m1-mirage,Pistol,0.9791666666666666,0.23046000532873068,Early
False,No Assist,0.0,spamzzy,7.656119800372403e+16,False,False,9.793741,0,27,0,False,stomach,False,False,3,0,False,28719,tender272,76561197993724724,deagle,17293822569102704641,0.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.12652925690916617,Early
False,No Assist,0.0,wasteyute,7.656119937319629e+16,False,False,22.604279,0,139,0,True,head,False,False,0,0,False,29301,Majesticzz,76561198144801954,ak47,17293822569170534407,46173004551.0,,0,aether-vs-full-send-m1-mirage,AK-47,1.0,0.8644730399941467,Early
False,juna,7.656119836635843e+16,sathsea,7.656119840164778e+16,False,False,24.011269,0,42,0,False,stomach,False,False,0,0,True,30282,a_m_c,76561198804371130,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,1.0,0.27599639554474426,Early
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,14.947144,0,44,0,False,stomach,False,False,0,0,True,30346,4TAYLOR,76561198852710277,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,1.0,0.2885414306160401,Early
False,tender272,7.656119799372472e+16,sathsea,7.656119840164778e+16,False,False,20.441135,0,30,0,False,chest,False,False,0,0,True,30441,spamzzy,76561198003724030,usp_silencer,17293822569123217469,46208270198.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.22932786440643185,Early
False,No Assist,0.0,a_m_c,7.656119880437114e+16,False,False,20.74005,15,108,0,True,head,False,False,0,0,False,35285,juna,76561198366358433,ak47,17293822569170534407,40310137444.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8780487804878049,0.7411996108564608,Early
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,32.83889,1,109,0,False,chest,False,False,0,0,False,35487,4TAYLOR,76561198852710277,awp,17293822569111683081,41116316378.0,,0,aether-vs-full-send-m1-mirage,AWP,0.990909090909091,0.44191035935280387,Early
False,No Assist,0.0,spamzzy,7.656119800372403e+16,False,False,33.376522,15,106,0,True,head,False,False,0,0,False,35818,wasteyute,76561199373196281,ak47,17293822569102704647,0.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8760330578512396,0.7298179242216534,Early
False,No Assist,0.0,CULIACAN,7.656119816602006e+16,False,False,15.407799,4,34,0,False,stomach,False,False,0,0,False,35935,sathsea,76561198401647782,ak47,17293822569181806599,43808342240.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8947368421052632,0.1481893253324227,Early
False,No Assist,0.0,micro,7.656119807204077e+16,False,False,9.735627,5,26,0,False,chest,False,False,0,0,False,36075,a_m_c,76561198804371130,m4a1_silencer,17293822569164701756,42956831493.0,,0,aether-vs-full-send-m1-mirage,M4,0.8387096774193549,0.1226295593168429,Early
False,a_m_c,7.656119880437114e+16,CULIACAN,7.656119816602006e+16,False,False,24.923796,3,27,0,False,chest,False,False,0,0,False,36163,micro,76561198072040762,ak47,17293822569181806599,43808342240.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.9,0.11571491952798889,Early
False,micro,7.656119807204077e+16,tender272,7.656119799372472e+16,False,False,12.790767,18,87,0,True,head,False,False,0,0,False,37657,spamzzy,76561198003724030,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,0.8285714285714286,0.6625024566073809,Early
False,spamzzy,7.656119800372403e+16,CULIACAN,7.656119816602006e+16,False,False,22.931072,5,40,0,True,head,False,False,1,0,False,37774,tender272,76561197993724724,ak47,17293822569181806599,43808342240.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8888888888888888,0.4683573356011799,Early
False,No Assist,0.0,Majesticzz,7.656119814480195e+16,False,False,31.451456,0,137,0,True,head,False,False,0,0,False,40927,sathsea,76561198401647782,ak47,17293822569170534407,46173004551.0,,0,aether-vs-full-send-m1-mirage,AK-47,1.0,0.854163051667081,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,20.260664,17,84,0,True,head,False,False,0,0,False,41426,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8316831683168316,0.6454070439192304,Early-Mid
